"question";"option";"input_type";"input_id";"dependence";"dependence_value";"required"
"Виберіть ваше відділення:";"0 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"1 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"2 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"3 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"4 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"5 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"6 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"7 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"8 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"9 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"10 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"11 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"12 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"13 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"14 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"15 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"16 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"17 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"18 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"19 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"20 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"21 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"22 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"23 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"24 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"25 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"26 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"27 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"28 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"29 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"30 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"31 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"32 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"33 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"34 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"35 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"36 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"37 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"38 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"39 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"40 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"41 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"42 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"43 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"44 відділення";"picker";"division";"NA";"NA";"TRUE"
"Виберіть ваше відділення:";"45 відділення";"picker";"division";"NA";"NA";"TRUE"
